class,isosurface_points,isosurface_cells,mean_intensity,median_intensity,std_intensity,min_intensity,max_intensity,q25_intensity,q75_intensity,intensity_range,iqr_intensity,voxel_count,high_intensity_voxels,voxel_ratio,high_intensity_ratio,point_cell_ratio,cell_density,point_density
glioma,36020,71144,0.09750670647087772,0.035192764780957064,0.12210855485641593,0.0,0.8588235378265381,0.0011531428499595023,0.17376978118787392,0.8588235378265381,0.1726166383379144,401940,4538,0.3833198547363281,0.0043277740478515625,0.5062970875969864,0.1770015425187839,0.08961536547743444
glioma,33368,66148,0.09944836377404635,0.01989156251268837,0.12966755923158374,0.0,0.886274516582489,0.004027895410431542,0.18092415694801534,0.886274516582489,0.17689626153758378,380599,4547,0.36296749114990234,0.004336357116699219,0.5044445788232449,0.17379972096616123,0.08767232704237268
glioma,11658,22888,0.0663266868882075,0.007692434026712745,0.09962639417916878,0.0,0.8078431487083435,0.0,0.12200857395493372,0.8078431487083435,0.12200857395493372,292790,641,0.27922630310058594,0.0006113052368164062,0.509349877665152,0.07817206871819393,0.039816933638443935
glioma,32475,64324,0.11179651363784164,0.05814456891012803,0.1268223749705297,0.0,0.929411768913269,0.009951267791074815,0.19410775335883182,0.929411768913269,0.18415648556775702,444602,4876,0.42400550842285156,0.004650115966796875,0.5048659909209626,0.1446777117511842,0.07304285630743901
glioma,26410,51972,0.09806079102234236,0.03043235484113588,0.12186870200200958,0.0,0.8235294222831726,0.0016766867400606106,0.17908239729907924,0.8235294222831726,0.17740571055901863,393358,2400,0.3751354217529297,0.002288818359375,0.5081582390517971,0.1321239176526218,0.06713985733098093
glioma,15508,30464,0.08073471520529599,0.02575352453152278,0.10499309475268803,0.0,0.8078431487083435,0.000575413659344521,0.14030853302766697,0.8078431487083435,0.13973311936832244,348242,1065,0.3321094512939453,0.0010156631469726562,0.5090598739495799,0.08747939651162123,0.044532250561391214
glioma,31120,61404,0.09753961326092994,0.02121989497323266,0.12472991870168752,0.0,0.8666666746139526,0.0011531428499595023,0.17967459784661086,0.8666666746139526,0.17852145499665134,393500,3091,0.3752708435058594,0.0029478073120117188,0.5068073741124357,0.15604574332909785,0.0790851334180432
glioma,22372,44200,0.052781397317940626,0.0032606653391169136,0.09933098992247649,0.0,0.7333333492279053,0.0,0.06219542103550605,0.7333333492279053,0.06219542103550605,218713,1063,0.20858097076416016,0.0010137557983398438,0.5061538461538462,0.20209132516128442,0.10228930150471166
glioma,10558,20704,0.06376101723261027,0.008717072233486044,0.09369541916231541,0.0,0.7333333492279053,0.0,0.1191333221344598,0.7333333492279053,0.1191333221344598,291569,739,0.2780618667602539,0.0007047653198242188,0.5099497681607419,0.07100892070144631,0.036210982649047055
glioma,46488,92272,0.11119703001295973,0.04743372543274306,0.13089218231912336,0.0,0.8784313797950745,0.009236268289331294,0.19404971779018537,0.8784313797950745,0.18481344950085407,427602,5406,0.4077930450439453,0.0051555633544921875,0.5038148083925784,0.21578944906712316,0.10871791993489273
glioma,60063,119372,0.12712044996145264,0.05063640038247703,0.14908386800691606,0.0,0.8980392217636108,0.01209653539406887,0.2217252415112173,0.8980392217636108,0.20962870611714843,442437,9572,0.42194080352783203,0.009128570556640625,0.5031581945514861,0.26980564464545237,0.13575492103960562
glioma,21020,41472,0.08816100366916498,0.019603428358026007,0.11324989101023748,0.0,0.8941176533699036,0.003804044355141985,0.15898086483560536,0.8941176533699036,0.15517682048046338,363231,2512,0.3464040756225586,0.0023956298828125,0.5068479938271605,0.11417527688991302,0.05786951003631298
glioma,9008,17604,0.07896779918337508,0.026469027373274154,0.09815727938264124,0.0,0.7686274647712708,0.0013211367581001706,0.14016454275566737,0.7686274647712708,0.1388434059975672,355159,446,0.33870601654052734,0.0004253387451171875,0.5117018859350148,0.0495665321729141,0.02536328799213873
glioma,22314,44060,0.06261994154842583,0.007246114409008495,0.10415701453069412,0.0,0.8470588326454163,0.0,0.0990383043995372,0.8470588326454163,0.0990383043995372,261195,1900,0.24909496307373047,0.001811981201171875,0.5064457557875625,0.16868623059400065,0.08543042554413369
glioma,13732,27024,0.06121073513184146,0.006521330678233827,0.10002280528949986,0.0,0.9411764740943909,0.0,0.10200049219980531,0.9411764740943909,0.10200049219980531,265130,549,0.25284767150878906,0.0005235671997070312,0.5081409117821196,0.10192735639120432,0.05179345981216762
glioma,22510,44416,0.09612187499804925,0.06320554992764393,0.10347961447184399,0.0,0.8509804010391235,0.010869171183297811,0.16145480033421825,0.8509804010391235,0.15058562915092044,425639,2698,0.40592098236083984,0.0025730133056640625,0.5067993515850144,0.1043513399852927,0.05288519144157373
glioma,31960,63736,0.0766536545700477,0.004357413850003616,0.1263508717514429,0.0,0.8980392217636108,0.0003843809652007633,0.12172941936454353,0.8980392217636108,0.12134503839934276,290017,4915,0.2765817642211914,0.004687309265136719,0.5014434542487762,0.21976642748528535,0.11020043652613468
glioma,31122,61408,0.06990911787553193,0.005717180815421542,0.11450050746182562,0.0,0.8156862854957581,0.0,0.11276549421040707,0.8156862854957581,0.11276549421040707,275941,3761,0.26315784454345703,0.0035867691040039062,0.5068069306930693,0.22254032564932358,0.11278497939776981
glioma,32572,64584,0.10027987160969125,0.0481987854734796,0.11937493782240718,0.0,0.8745098114013672,0.007246114409008495,0.1764752565271181,0.8745098114013672,0.1692291421181096,414974,5737,0.3957500457763672,0.005471229553222656,0.5043354391180478,0.15563384693980828,0.07849166453801924
glioma,27022,53304,0.091693921251012,0.02704444096429196,0.1203413423780459,0.0,0.8549019694328308,0.0,0.16001009860014198,0.8549019694328308,0.16001009860014198,369406,2464,0.3522930145263672,0.002349853515625,0.5069413177247486,0.1442965192768932,0.07314986762532281
glioma,22178,43980,0.06108413549957328,0.006917029933366918,0.10617238070010859,0.0,0.8705882430076599,0.0,0.08575771268390898,0.8705882430076599,0.08575771268390898,247565,2291,0.23609638214111328,0.0021848678588867188,0.504274670304684,0.17765031405893403,0.0895845535515925
glioma,27378,54052,0.08057657958993757,0.02152533295581589,0.11117168044384215,0.0,0.8470588326454163,0.0017262409097068615,0.13185429202808105,0.8470588326454163,0.1301280511183742,324081,3438,0.3090677261352539,0.0032787322998046875,0.5065122474654037,0.1667854641277952,0.08447888027993002
glioma,31500,62168,0.07079638454606277,0.00760808871028397,0.11484433482003117,0.0,0.8156862854957581,0.0,0.11383713020101921,0.8156862854957581,0.11383713020101921,276821,3871,0.26399707794189453,0.0036916732788085938,0.506691545489641,0.2245783376261194,0.11379194497527283
glioma,12790,25048,0.06321637822646509,0.0038462170133563723,0.09845716710473026,0.0,0.7490196228027344,0.0,0.1185104067397704,0.7490196228027344,0.1185104067397704,288625,641,0.2752542495727539,0.0006113052368164062,0.5106196103481316,0.0867838891294933,0.044313555651797315
